2018_rank,City,State,2018_estimate,2010_census,Change (%),2016_land_area (km2),2016_population_density (/km2),Location,Description,Nickname,County,Govern_type,Govern_body,Govern_mayor,Area_land,Area_water,Area_metro,Elevation,CSA,Time_zone,ZIP_code,Area_code,FIPS_code,Airport,Website,Area_land (km2),Area_water (km2),Area_metro (km2),Elevation (m)
137,Brownsville,Texas,183392,175023,4.78,343.2,536,25°59′57″N 97°27′18″W,"Brownsville (/ˈbrɑːʊnzˌvɪl/) is a city in Cameron County in the U.S. state of Texas. It located on the western Gulf Coast in South Texas, adjacent to the border with Matamoros, Mexico. The city covers 81.528 square miles (211.157 km2) and has a population of 183,299 as of 2017. It is the 131st-largest city in the United States and 16th-largest in Texas. It is part of the Brownsville–Matamoros conurbation, with a population of 1,136,995 people. The city is known for its year-round subtropical climate, deep-water seaport and Hispanic culture.",Chess Capital of Texas,Cameron,Council-Manager,,Vacant,81.528 sq mi (211.157 km2),3.339 sq mi (8.648 km2)  4%,370.58 sq mi (905.76 km2),33 ft (10 m),444059.0,UTC-6 (CST),"78520, 78521, 78522, 78523, 78526",956,48-10768,Brownsville/South Padre Island International Airport KBRO (BRO),www.cob.us,211.157,8.648,905.76,10.0
138,Vancouver,Washington,183012,161791,13.12,121.5,1439,45°38′06″N 122°35′45″W,"Vancouver is a city on the north bank of the Columbia River in the U.S. state of Washington, and the largest suburb of Portland, Oregon. Incorporated in 1857, it is the fourth largest city in the state, with a population of 161,791 as of April 1, 2010 census. Vancouver is the county seat of Clark County and forms part of the Portland-Vancouver metropolitan area, the 23rd largest metropolitan area in the United States. Originally established in 1825 around Fort Vancouver, a fur-trading outpost, the city is located on the Washington/Oregon border along the Columbia River, directly north of Portland. In 2005, Money magazine named it No. 91 on its list of best places in America to live. In 2016, WalletHub ranked Vancouver the 89th best place in the US for families to live.",,Clark,Council/Manager,,Anne McEnerny-Ogle,48.69 sq mi (126.11 km2),3.70 sq mi (9.59 km2),"2,389,228 (US: 23rd)",171 ft (52 m),,UTC−8 (Pacific),,360,53-74060,,City of Vancouver,126.11,9.59,,52.0
139,Fort Lauderdale,Florida,182595,165521,10.32,89.6,1995,26°08′28″N 80°08′48″W,"Fort Lauderdale (/ˈlɔːdərdeɪl/) is a city in the U.S. state of Florida,  28 miles (45 km) north of Miami. It is the county seat of Broward County.  As of the 2017[update] census, the city has an estimated population of 180,072. Fort Lauderdale is a principal city of the Miami metropolitan area, which was home to an estimated 6,158,824 people in 2017.",,,,,,,,,,,,,,,,,,,,
140,Sioux Falls,South Dakota,181883,153888,18.19,195.3,893,43°32′18″N 96°43′55″W,"Sioux Falls (/ˌsuː ˈfɔːlz/) (Lakota: Íŋyaŋ Okábleča Otȟúŋwahe; ""Stone Shatter City"") is the most populous city in the U.S. state of South Dakota and the 143rd-most populous city in the United States. It is the county seat of Minnehaha County and also extends into Lincoln County to the south, proximate with the Minnesota state line. It is the 47th-fastest-growing city in the United States and the fastest-growing metro area in South Dakota, with a population increase of 22% between 2000 and 2010.",,,,,,,,,,,,,,,,,,,,
141,Ontario,California,181107,163924,10.48,129.2,1340,34°02′22″N 117°36′15″W,"Ontario is a city located in southwestern San Bernardino County, California, 35 miles (56 km) east of downtown Los Angeles and 23 miles (37 km) west of downtown San Bernardino, the county seat. Located in the western part of the Inland Empire metropolitan area, it lies just east of Los Angeles County and is part of the Greater Los Angeles Area. As of the 2010 Census, the city had a population of 163,924, up from 158,007 at the 2000 census, making it the county's fourth most populous city after San Bernardino, Fontana, and Rancho Cucamonga.[not verified in body]",,,,,,,,,,,,,,,,,,,,
142,Chattanooga,Tennessee,180557,167674,7.68,370.6,479,35°03′58″N 85°14′54″W,"Chattanooga is a city located in Hamilton County, southeastern Tennessee, along the Tennessee River bordering Georgia. With an estimated population of 179,139 in 2017, it is the fourth-largest city in Tennessee and one of the two principal cities of East Tennessee, along with Knoxville. Served by multiple railroads and Interstate highways, Chattanooga is a transit hub. Chattanooga lies 118 miles (190 km) northwest of Atlanta, Georgia, 112 miles (180 km) southwest of Knoxville, Tennessee, 134 miles (216 km) southeast of Nashville, Tennessee, 102 miles (164 km) east-northeast of Huntsville, Alabama, and 147 miles (237 km) northeast of Birmingham, Alabama.","Scenic City , Chatt, Chattown, Gig City, Nooga, and River City",Hamilton,Mayor-council,,Andy Berke (D),137.1 sq mi (355.2 km2),7.4 sq mi (19.2 km2),"547,776",676 ft (206 m),,UTC-5 (EST),"37341, 37343, 37350, 37351, 37363, 37377, 37379, 37402, 37403, 37404, 37405, 37406, 37407, 37408, 37409, 37410, 37411, 37412, 37415, 37416, 37419,  37421",423,47-14000,,www.chattanooga.gov,355.2,19.2,547776.0,206.0
143,Providence,Rhode Island,179335,178042,0.73,47.7,3760,41°49′23″N 71°25′08″W,"Providence is the capital and most populous city of the U.S. state of Rhode Island and is one of the oldest cities in the United States. It was founded in 1636 by Roger Williams, a Reformed Baptist theologian and religious exile from the Massachusetts Bay Colony. He named the area in honor of ""God's merciful Providence"" which he believed was responsible for revealing such a haven for him and his followers. The city is situated at the mouth of the Providence River at the head of Narragansett Bay.","The Creative Capital, the Renaissance City, the Divine City, PVD, Prov",Providence,Mayor-Council,Providence City Council,Jorge Elorza (D),48 km2 (18.4 sq mi),6 km2 (2.2 sq mi),"1,604,291 (US: 38th)",23 m (75 ft),,UTC−5 (Eastern Time Zone),"02901-02912, 02918, 02919, 02940",401,44-59000,,www.providenceri.com,18.4,2.2,,75.0
144,Newport News,Virginia,178626,180719,-1.16,179.0,1016,37°04′34″N 76°31′19″W,"Newport News is an independent city in the U.S. state of Virginia. As of the 2010 census, the population was 180,719. In 2013, the population was estimated to be 183,412, making it the fifth-most populous city in Virginia.",,,,,McKinley L. Price (I),69.12 sq mi (179.02 km2),50.55 sq mi (130.93 km2)  42.4%,"1,672,319",15 ft (4.5 m),,UTC−5 (EST),23601-23609,757,51-56000,,www.nnva.gov,179.02,130.93,1672319.0,4.5
145,Rancho Cucamonga,California,177751,165269,7.55,103.6,1704,34°07′24″N 117°33′51″W,"Rancho Cucamonga is a city of about 177,000 residents located just south of the foothills of the San Gabriel Mountains and Angeles National Forest in San Bernardino County, California, United States. About 37 miles (60 km) east of Downtown Los Angeles, Rancho Cucamonga is the 19th most populous city in southern California and the 27th state-wide. The city's seal, which centers on a cluster of grapes, alludes to the city's agricultural history including wine-making. The city's proximity to major transportation hubs, airports, and highways has attracted the business of several large corporations, including Coca-Cola, Frito-Lay, Big Lots, Mercury Insurance Group, Southern California Edison, and Amphastar Pharmaceuticals.",,San Bernardino,Council-Manager,,,39.99 sq mi (103.56 km2),0.01 sq mi (0.02 km2)  0.05%,,"1,207 ft (368 m)",,UTC−8 (PST),"91701, 91729, 91730, 91737, 91739",909,06-59451,,www.cityofrc.us,103.56,0.02,,368.0
146,Santa Rosa,California,177586,167815,5.82,107.0,1637,38°26′48″N 122°42′22″W,"Santa Rosa (lit. Spanish for ""Saint Rose"") is a city in and the county seat of Sonoma County, in California's Wine Country. Its estimated 2016 population was 175,155. Santa Rosa is the largest city in California's Redwood Empire,   Wine Country and the North Bay; the fifth most populous city in the San Francisco Bay Area after San Jose, San Francisco, Oakland, and Fremont; and the 28th most populous city in California.",,Sonoma,Council-Manager,,Tom Schwedhelm,41.29 sq mi (106.95 km2),0.20 sq mi (0.53 km2)  0.49%,,164 ft (50 m),,UTC−8 (Pacific),"95401-95407, 95409",707,06-70098,,ci.santa-rosa.ca.us,106.95,0.53,,50.0
147,Oceanside,California,176080,167086,5.38,107.0,1641,33°13′28″N 117°18′22″W,"Oceanside is a coastal city located on California's South Coast. It is the third-largest city in San Diego County, California. The city had a population of 167,086 at the 2010 census. Together with  Carlsbad and Vista, it forms a tri-city area. Oceanside is located just south of Marine Corps Base Camp Pendleton.",,San Diego,Council-manager,,,41.25 sq mi (106.84 km2),0.92 sq mi (2.39 km2)  2.23%,,66 ft (20 m),,UTC−8 (Pacific),"92049, 92051, 92052, 92054, 92056-92058",442-760,06-53322,John Wayne International Airport (SNA)San Diego International Airport (SAN),www.ci.oceanside.ca.us,106.84,2.39,,20.0
148,Salem,Oregon,173442,154637,12.16,125.9,1330,44°55′25″N 123°01′24″W,"Salem /ˈseɪləm/ is the capital of the U.S. state of Oregon, and the county seat of Marion County. It is located in the center of the Willamette Valley alongside the Willamette River, which runs north through the city. The river forms the boundary between Marion and Polk counties, and the city neighborhood of West Salem is in Polk County. Salem was founded in 1842, became the capital of the Oregon Territory in 1851, and was incorporated in 1857.",The Cherry City,"Marion, Polk",City Council – City Manager,,Chuck Bennett (D),47.90 sq mi (124.06 km2),0.55 sq mi (1.42 km2),"400,408 (US: 130th)",154 ft (46.7 m),,UTC−8 (PST),,"503,971",41-64900,,cityofsalem.net,124.06,1.42,,46.7
149,Elk Grove,California,172886,153015,12.99,109.3,1553,38°24′53″N 121°23′06″W,"Elk Grove is a city in Sacramento County, California, located just south of the state capital of Sacramento. It is part of the Sacramento–Arden-Arcade–Roseville Metropolitan Statistical Area. As of 2018, the population of the city was estimated at 173,702. The second-largest city in Sacramento County, Elk Grove was the fastest growing city in the U.S. between July 1, 2004, and July 1, 2005. The City of Elk Grove incorporated on July 1, 2000. It is a general law city with a council/manager form of government. One of Elk Grove's most significant aspects is the Elk Grove Unified School District, which is the city's largest employer. ",,Sacramento,Council/Manager,,Steve Ly (directly elected),42.20 sq mi (109.29 km2),0.05 sq mi (0.12 km2)  0.12%,,46 ft (14 m),,UTC-8 (Pacific),"95624, 95757-95759",916,06-22020,,elkgrovecity.org,109.29,0.12,,14.0
150,Garden Grove,California,172646,170883,1.03,46.6,3751,33°46′44″N 117°57′38″W,"Garden Grove is a city in northern Orange County, California, United States, located 34 miles (55 km) southeast of the city of Los Angeles in the Los Angeles metropolitan area. The population was 170,883 at the 2010 United States Census. State Route 22, also known as the Garden Grove Freeway, passes through the city in an east-west direction. The western portion of the city is known as West Garden Grove.",,Orange,Council-manager,,Steven R. Jones,17.96 sq mi (46.51 km2),0.02 sq mi (0.05 km2)  0.10%,,89 ft (27 m),,UTC-8 (Pacific),92840-92846,657-714,06-29000,,www.ggcity.org,46.51,0.05,,27.0
151,Pembroke Pines,Florida,172374,154019,11.92,85.5,1973,26°01′16″N 80°20′25″W,"Pembroke Pines is a city in southern Broward County, Florida, United States. Pembroke Pines' current population is estimated at 170,712 as of 2017. The city had a population of 154,750 as of the 2010 census, making it the second-most populous city in Broward County after Fort Lauderdale, and the 11th-most populous in Florida. It is a principal city of the Miami metropolitan area, which was home to an estimated 6,012,331 people in 2015.",,Broward,Commission-Manager,,Frank C. Ortis (D),33.03 sq mi (85.54 km2),1.94 sq mi (5.03 km2)  4.88%,,7 ft (2 m),,UTC−5 (Eastern (EST)),"33023-33029, 33330-33332","954,754",12-55775,,City of Pembroke Pines,85.54,5.03,,2.0
152,Peoria,Arizona,172259,154065,11.81,455.1,361,33°47′10″N 112°18′29″W,"Peoria /piˈɔːriə/ is a city in Maricopa and Yavapai counties in the State of Arizona. Most of the city is located in Maricopa County, while a tiny portion in the north is in Yavapai County. It is a major suburb of Phoenix. According to 2017 Census Bureau estimates, the population of the city is 168,181.  Peoria is currently the sixth largest city in Arizona for land area, and the ninth largest for population. It was named after Peoria, Illinois. The word ""peoria"" is a corruption of the Illini word for ""prairie fire."" It is the spring training home of the San Diego Padres and Seattle Mariners, who share the Peoria Sports Complex. In July 2008, Money magazine listed Peoria in its Top 100 Places to Live.",,,,,,,,,,,,,,,,,,,,
153,Eugene,Oregon,171245,156185,9.64,114.2,1458,44°03′24″N 123°06′58″W,"Eugene (/juːˈdʒiːn/ yoo-JEEN) is a city in the U.S. state of Oregon. It is at the southern end of the verdant Willamette Valley, near the confluence of the McKenzie and Willamette Rivers, about 50 miles (80 km) east of the Oregon Coast.","Emerald Valley, The Emerald City, Track Town",Lane,Council-manager,,Lucy Vinis (D),43.72 sq mi (113.23 km2),0.02 sq mi (0.05 km2),,430 ft (131 m),,UTC-8 (PST),"97401-97405, 97408, 97440","458,541",41-23850,,www.eugene-or.gov,113.23,0.05,,131.0
154,Corona,California,168819,152374,10.79,102.3,1630,33°51′43″N 117°33′56″W,"Corona is a city in Riverside County, California, United States. As of the 2010 census, the city had a population of 152,374, up from 124,966 at the 2000 census. The cities of Norco and Riverside lie to the north and northeast, respectively, Chino Hills and Yorba Linda to the northwest, and the Cleveland National Forest and the Santa Ana Mountains to the southwest, and unincorporated areas of Riverside County line all of its other borders. Corona lies approximately 48 miles (77 km) southeast of Los Angeles and 95 miles (153 km) north-northwest of San Diego.","Crown Town, The Circle City, Crown Colony, Queen Colony, Indianapolis of the West",Riverside,Council-manager,,Jason Scott,39.47 sq mi (102.23 km2),0.08 sq mi (0.21 km2)  0.27%,"4,224,851",679 ft (207 m),,UTC-8 (Pacific),92877-92883,951,06-16350,Ontario International AirportONT (Major/International),www.discovercorona.com,102.23,0.21,4224851.0,207.0
155,Cary,North Carolina,168160,135234,24.35,146.3,1109,35°46′51″N 78°48′48″W,"Cary /ˈkæri/ is the seventh-largest municipality in North Carolina. Cary is predominantly in Wake County, with a small area in Chatham County in the U.S. state of North Carolina and is the county's second-largest municipality, as well as the third-largest municipality in The Triangle of North Carolina after Raleigh and Durham.",,"Chatham, Wake",,,Harold Weinbrecht (D),58.33 sq mi (151.07 km2),1.09 sq mi (2.82 km2)  1.83%,,495 ft (151 m),,UTC-5 (EST),"27511-27513, 27518, 27519","919,984",37-10740,,www.townofcary.org,151.07,2.82,,151.0
156,Springfield,Missouri,168122,159498,5.41,213.2,785,37°11′39″N 93°17′29″W,"Springfield is the third-largest city in the state of Missouri and the county seat of Greene County. As of the 2010 census, its population was 159,498. As of 2018, the Census Bureau estimated its population at 168,122. It is the principal city of the Springfield metropolitan area, which has a population of 462,369 and includes the counties of Christian, Dallas, Greene, Polk, Webster.",The Queen City of the OzarksBirthplace of Route 66,"Greene, Christian",Council-manager,,Ken McClure,81.72 sq mi (211.65 km2),0.59 sq mi (1.53 km2),"3,021 sq mi (7,824 km2)","1,299 ft (396 m)",,UTC−6 (CST),65800-65899,417,29-70000,,www.springfieldmo.gov,211.65,1.53,7824.0,396.0
157,Fort Collins,Colorado,167830,143986,16.56,144.5,1136,40°32′54″N 105°03′53″W,"Fort Collins is the Home Rule Municipality that is the county seat and the most populous municipality of Larimer County, Colorado, United States. Situated on the Cache La Poudre River along the Colorado Front Range, Fort Collins is located 56 mi (90 km) north of the Colorado State Capitol in Denver. With a 2016 estimated population of 161,000, it is the fourth most populous city in Colorado after Denver, Colorado Springs, and Aurora. Fort Collins is a midsize college city, home to Colorado State University.",,Larimer,Home Rule Municipality,,Wade Troxell,55.82 sq mi (144.58 km2),1.23 sq mi (3.20 km2)  1.27%,,"5,003 ft (1,525 m)",,UTC−7 (MST),80521-80528,970,08-27425,,fcgov.com,144.58,3.2,,1525.0
158,Jackson,Mississippi,164422,173514,-5.24,287.5,588,32°18′57″N 90°12′46″W,"Jackson, officially the City of Jackson, is the capital and most populous city of the U.S. state of Mississippi.  It is one of two county seats of Hinds County, along with Raymond, Mississippi.  The city of Jackson also includes around 3,000 acres comprising Jackson-Medgar Evers International Airport in Rankin County and a small portion of Madison County.  The city's population was estimated to be 165,072 in 2017, a decline from 173,514 in 2010.  The city sits on the Pearl River and is located in the greater Jackson Prairie region of Mississippi.","Crossroads of the South, Jack-town, The 601","Hinds, Madison, Rankin",Mayor–Council,,Chokwe Antar Lumumba (D),111.07 sq mi (287.66 km2),2.17 sq mi (5.61 km2),"576,382 (US: 93rd)",279 ft (85 m),,UTC−6 (CST),39200-39299,"601,769",28-36000,,www.jacksonms.gov,287.66,5.61,,85.0
159,Alexandria,Virginia,160530,139966,14.69,38.8,4010,38°49′12″N 77°05′03″W,"Alexandria is an independent city in the Commonwealth of Virginia in the United States. As of the 2010 census, the population was 139,966, and in 2016, the population was estimated to be 160,530. Located along the western bank of the Potomac River, Alexandria is approximately 7 miles (11 km) south of downtown Washington, D.C.",,Independent city,Council-manager,,Justin Wilson (D),14.93 sq mi (38.68 km2),0.41 sq mi (1.07 km2),,39 ft (12 m),,UTC-5 (EST),"223 22315, 223 22336","571,703",51-01000,,www.alexandriava.gov,38.68,1.07,,12.0
160,Hayward,California,159620,144186,10.7,117.8,1349,37°37′43″N 122°06′09″W,"Hayward (/ˈheɪwərd/; formerly Haywards, Haywards Station, and Haywood) is a city located in Alameda County, California in the East Bay subregion of the San Francisco Bay Area. With a 2014 population of 149,392, Hayward is the sixth largest city in the Bay Area and the third largest in Alameda County. Hayward was ranked as the 37th most populous municipality in California. It is included in the San Francisco–Oakland–Fremont Metropolitan Statistical Area by the US Census. It is located primarily between Castro Valley and Union City, and lies at the eastern terminus of the San Mateo–Hayward Bridge. The city was devastated early in its history by the 1868 Hayward earthquake. From the early 20th century until the beginning of the 1980s, Hayward's economy was dominated by its now defunct food canning and salt production industries.",,Alameda,Council-Manager,,Barbara Halliday,45.54 sq mi (117.94 km2),18.29 sq mi (47.36 km2)  28.9%,"7,468,390",105 ft (32 m),,UTC−8 (Pacific),"94540-94546, 94552, 94557",510,06-33000,,www.hayward-ca.gov,117.94,47.36,7468390.0,32.0
161,Lancaster,California,159053,156633,1.55,244.2,656,34°41′37″N 118°10′31″W,"Lancaster /ˈlæn.kæstər/ is a charter city in northern Los Angeles County, in the Antelope Valley of the western Mojave Desert in Southern California. As of 2013, Lancaster was the 31st largest city in California. Lancaster is part of a twin city complex with its southern neighbor Palmdale and together they are the principal cities within the Antelope Valley region.",,Los Angeles,Council-manager,,R. Rex Parris,94.30 sq mi (244.23 km2),0.26 sq mi (0.68 km2)  0.29%,,"2,359 ft (719 m)",,UTC-8 (Pacific),"93534-93536, 93539, 93584",661,06-40130,Los Angeles International AirportLAX (Major/International),www.cityoflancasterca.org,244.23,0.68,,719.0
162,Lakewood,Colorado,156798,142980,9.66,111.1,1390,39°41′56″N 105°07′03″W,"Lakewood is a Home Rule Municipality which is the most populous municipality in Jefferson County, Colorado, United States.  Lakewood is the fifth most populous city in the State of Colorado and the 172nd most populous city in the United States.  The city population was 142,980 at the 2010 United States Census. Lakewood is west of Denver and is part of the Denver-Aurora-Lakewood, CO Metropolitan Statistical Area.",,Jefferson County,Home Rule Municipality,,Adam Paul,42.87 sq mi (111.04 km2),1.18 sq mi (3.06 km2),"2,814,330 (US: 19th)","5,518 ft (1,682 m)",,UTC-7 (MST),"80214-80215, 80227, 80226-80228, 80232, 80235-80280480123",",303,720",08-43000,,City of Lakewood,111.04,3.06,,1682.0
163,Clarksville,Tennessee,156794,132929,17.95,254.6,590,36°33′59″N 87°20′43″W,"Clarksville is the county seat of Montgomery County, Tennessee, United States. It is the fifth-largest city in the state behind Nashville, Memphis, Knoxville, and Chattanooga. The city had a population of 132,929 at the 2010 census, and an estimated population of 153,205 in 2017.",Queen of the CumberlandGateway to the New SouthTennessee's Top Spot,Montgomery,,,Joe Pitts,94.9 sq mi (245.7 km2),0.7 sq mi (1.8 km2),,476 ft (145 m),,UTC−6 (CST),37040-37044,931,47-15160,,cityofclarksville.com,245.7,1.8,,145.0
164,Palmdale,California,156667,152750,2.56,274.5,573,34°35′28″N 118°06′19″W,Palmdale is a city in northern Los Angeles County in the U.S. state of California. The city lies in the Antelope Valley region of Southern California. The San Gabriel Mountains separate Palmdale from the city of Los Angeles to the south.,,Los Angeles,Council-manager,"City council:Steve Hofbauer(mayor),Austin Bishop, Dist-1,Steve Hofbauer, Dist-2,Laura Bettencourt, Dist-3,Juan Carillo, Dist-4",,105.97 sq mi (274.45 km2),0.24 sq mi (0.63 km2)  0.24%,"12,828,837","2,657 ft (810 m)",,UTC−8 (Pacific Time Zone),"93550-93552, 93590, 93591, 93599",661,06-55156,Los Angeles International AirportLAX (Major/International),www.cityofpalmdale.org,274.45,0.63,12828837.0,810.0
165,Salinas,California,156259,150441,3.87,61.1,2572,36°41′25″N 121°38′01″W,"Salinas /səˈliːnəs/ is the county seat and largest municipality of Monterey County, California. Salinas is an urban area located just outside the southern portion of the Greater Bay Area and  10 miles (16 km) east-southeast of the mouth of the Salinas River. The population was 157,218 as of 2016[update]. The city is located at the mouth of the Salinas Valley roughly eight miles from the Pacific Ocean and has a climate more influenced by the ocean than the hot-summer interior. The majority of residents live in single-unit detached homes, built between 1950 and 2000, while one third of the housing stock has three or more units per structure. Salinas serves as the main business, governmental and industrial center of the region. The marine climate is ideal for the floral industry, grape vineyards, and vegetable growers. Salinas is known for its vibrant and large agriculture industry and being ""The Salad Bowl of the World"" as the hometown of writer and Nobel Prize in Literature laureate John Steinbeck, who based several of his novels there.",The Salad Bowl of the World,Monterey,Council-Manager,,Joe Gunter,23.61 sq mi (61.15 km2),0.04 sq mi (0.10 km2)  0.16%,,52 ft (16 m),,UTC−8 (Pacific),"93901-93902, 93905-93907, 93912,  93915",831,06-64224,,www.cityofsalinas.org,61.15,0.1,,16.0
166,Springfield,Massachusetts,155032,153060,1.29,82.6,1860,42°06′56″N 72°32′24″W,"Springfield is a city in the state of Massachusetts, United States, and the seat of Hampden County. Springfield sits on the eastern bank of the Connecticut River near its confluence with three rivers: the western Westfield River, the eastern Chicopee River, and the eastern Mill River. As of the 2010 Census, the city's population was 153,060. As of 2018, the estimated population was 155,032, making it the third-largest city in Massachusetts, the fourth-most populous city in New England after Boston, Worcester, and Providence, and the 12th-most populous in the Northeastern United States. Metropolitan Springfield, as one of two metropolitan areas in Massachusetts (the other being Greater Boston), had a population of 692,942 as of 2010.","The City of Firsts, The City of Progress, The City of Homes, A City in the Forest, Hoop City,The Western Gateway to New England",Hampden,Mayor-council city,,Domenic Sarno (D),31.9 sq mi (82.5 km2),1.2 sq mi (3.1 km2),"692,942",70 ft (21 m),,UTC−5 (Eastern),"01101, 01103-01105, 01107-01109, 01118-01119, 01128-01129, 01151",413,25-67000,Bradley International Airport,www.springfield-ma.gov,82.5,3.1,692942.0,21.0
167,Hollywood,Florida,154823,140768,9.98,70.7,2150,26°01′52″N 80°09′53″W,"Hollywood is a city in Broward County, Florida, between Fort Lauderdale and Miami. The average temperature is between 68 and 83 °F (20 and 28 °C). As of July 1, 2017, Hollywood had a population of 153,627. Founded in 1925, the city grew rapidly in the 1950s and 1960s, and is now the twelfth-largest city in Florida. Hollywood is a principal city of the Miami metropolitan area, which was home to an estimated 6,012,331 people at the 2015 census. ",,,,,,,,,,,,,,,,,,,,
168,Pasadena,Texas,153219,149043,2.8,112.7,1361,29°39′31″N 95°09′02″W,"Pasadena /ˌpæsəˈdiːnə/ is a city in the U.S. state of Texas, within the Houston–The Woodlands–Sugar Land metropolitan area. As of the 2010 U.S. Census, the city's population is 149,043, making it the seventeenth most populous city in the state of Texas, as well as the second-largest city in Harris County. The area was founded in 1893 by John H. Burnett of Galveston, who named the area after Pasadena, California, because of the perceived lush vegetation.",,Harris,Mayor-Council,,Jeff Wagner,44.2 sq mi (114.4 km2),0.4 sq mi (0.9 km2),"5,628,101",30 ft (9.1 m),,UTC−6 (CST),"77501-77507, 77059, 77586","713,281,346,832",48-56000,,ci.pasadena.tx.us,114.4,0.9,5628101.0,9.1
169,Sunnyvale,California,153185,140081,9.35,57.0,2681,37°23′09″N 122°01′35″W,"Sunnyvale (/ˈsʌniveɪl, vəl/) is a city located in Santa Clara County, California. As of the 2010 United States Census, the population was 140,095.",,Santa Clara,Council-manager,,Larry Klein,21.98 sq mi (56.94 km2),0.70 sq mi (1.82 km2)  3.09%,,125 ft (38 m),,UTC−8 (PST),94085-94090,"408-669,650",06-77000,,sunnyvale.ca.gov,56.94,1.82,,38.0
170,Macon,Georgia,153095,91351,67.59,645.7,236,32°48′32″N 83°41′39″W,"Macon (/ˈmeɪkən/), officially Macon–Bibb County, is a consolidated city-county located in the state of Georgia, United States. Macon lies near the geographic center of the state, approximately 85 miles (137 km) south of Atlanta, hence the city's nickname ""The Heart of Georgia"".",,Bibb,,,Robert Reichert (D),647 km2 (249.96 sq mi),3.2 km2 (0.5 sq mi),"228,914 (197th)",116 m (381 ft),420693.0,UTC−5 (EST),31200-31299,478,13-49000,,maconbibb.us,249.96,0.5,,381.0
171,Kansas City,Kansas,152958,145786,4.92,323.2,470,39°07′21″N 94°44′30″W,"Kansas City is the third-largest city in the State of Kansas, the county seat of Wyandotte County, and the third-largest city of the Kansas City metropolitan area.  Kansas City, Kansas is abbreviated as ""KCK"" to differentiate it from Kansas City, Missouri, after which it is named.  It is part of a consolidated city-county government known as the ""Unified Government"". Wyandotte County also includes the independent cities of Bonner Springs and Edwardsville. As of the 2010 census, the city had a population of 145,786 residents. It is situated at Kaw Point, which is the junction of the Missouri and Kansas rivers.",KCK,Wyandotte,,,David Alvey,124.81 sq mi (323.26 km2),3.57 sq mi (9.25 km2),,869 ft (265 m),,UTC−6 (CST),"66101-66113, 66115, 66117-66119, 66160",913,20-36000,,wycokck.org,323.26,9.25,,265.0
172,Pomona,California,152361,149058,2.22,59.6,2560,34°03′31″N 117°45′40″W,"Pomona (/pəˈmoʊnə/) is a city in Los Angeles County, California, United States. Pomona is located in the Pomona Valley, between the Inland Empire and the San Gabriel Valley. As of the 2010 United States Census, the city's population was 149,058.",P-Town[citation needed],Los Angeles,Council-Manager,,,22.95 sq mi (59.45 km2),0.01 sq mi (0.03 km2)  0.05%,,850 ft (259 m),,UTC−8 (Pacific),91766-91768,909,06-58072,Ontario International AirportONT (Major/International),www.ci.pomona.ca.us,59.45,0.03,,259.0
173,Escondido,California,152213,143911,5.77,96.1,1578,33°07′59″N 117°04′26″W,"Escondido (/ˌɛskənˈdiːdoʊ/ ES-kən-DEE-doh) is a city located in San Diego County's North County region, 30 miles (48 km) northeast of downtown San Diego. The city occupies a shallow valley ringed by rocky hills.  Incorporated in 1888, it is one of the oldest cities in San Diego County. The city had a population of 143,911 in the 2010 census.",,San Diego,Council-Manager,,Paul McNamara (D),37.07 sq mi (96.01 km2),0.18 sq mi (0.46 km2)  0.48%,,646 ft (197 m),,UTC−8 (Pacific),"92025-92027, 92029",442-760,06-22804,,www.escondido.org,96.01,0.46,,197.0
174,Killeen,Texas,149103,127921,16.56,138.6,1030,31°04′40″N 97°43′55″W,"Killeen is a city in Bell County, Texas, United States. According to the 2010 census, its population was 127,921, making it the 21st-most populous city in Texas. It is the principal city of the Killeen–Temple–Fort Hood Metropolitan Statistical Area.","K-Town, The K",Bell,Council-Manager,,,53.6 sq mi (138.8 km2),0.7 sq mi (1.7 km2),,890 ft (270 m),,UTC-6 (Central (CST)),"76540, 76541, 76542, 76543, 76548, 76549",254,48-39148,,www.killeentexas.gov,138.8,1.7,,270.0
175,Naperville,Illinois,148304,141853,4.55,100.2,1468,41°44′57″N 88°09′43″W,"Naperville (/ˈneɪpərˌvɪl/) is a city in DuPage and Will counties in the U.S. state of Illinois. Located 28 miles (45 km) west of Chicago, Naperville was founded in 1831 and developed into the fifth-largest city in Illinois. As of the 2010 census, the city had a population of 141,853, which was estimated to have increased to 147,682  by 2017.",,,,,,,,,,,,,,,,,,,,
176,Joliet,Illinois,148099,147433,0.45,166.8,889,41°31′04″N 88°08′56″W,"Joliet (/ˈdʒoʊliɛt, dʒoʊliˈɛt/) is a city in Will and Kendall counties in the U.S. state of Illinois, 30 miles (48 km) southwest of Chicago. It is the county seat of Will County and a major part of the southwest Chicago metropolitan area. At the 2010 census, the city was the fourth largest in Illinois, with a population of 147,433. A population estimate in 2018 put Joliet's population at 150,495, which would make it the 3rd largest city in Illinois if accurate.",,"Will, Kendall",Council-manager,,Bob O'Dekirk (R),64.43 sq mi (166.88 km2),0.66 sq mi (1.72 km2),,614 ft (187 m),,UTC-6 (CST),,"815,779",17-38570,,www.cityofjoliet.info,166.88,1.72,,187.0
